SCC ID,URLs
0,['https://untref.edu.ar/docentes_departamento']
1,['https://untref.edu.ar/untref-en-cifras']
2,['https://untref.edu.ar/llamado-a-concurso-cerrado-de-oposicion-y-antecedentes-para-cubrir-cargos-del-personal-no-docente']
3,['https://untref.edu.ar/autoevaluacion-institucional']
4,['https://untref.edu.ar/normativa-institucional']
5,['https://untref.edu.ar/comunicacion-y-prensa']
6,['https://untref.edu.ar/elecciones-untref-2024']
7,['https://untref.edu.ar/comite-interdisciplinario-de-violencia-de-g%C3%A9nero']
8,['https://untref.edu.ar/untref-saludable']
9,['https://untref.edu.ar/covid']
10,['https://untref.edu.ar/estudiar-en-untref']
11,['https://untref.edu.ar/carreras']
12,['https://untref.edu.ar/departamento-de-alumnos']
13,['https://untref.edu.ar/posgrados']
14,['https://untref.edu.ar/alumnos-de-posgrado']
15,['https://untref.edu.ar/catedra-unesco-de-educacion-superior-y-pueblos-indigenas-y-afrodescendientes-en-america-latina']
16,['https://untref.edu.ar/secretaria-academica']
17,['https://untref.edu.ar/soevo-orientacion-vocacional']
18,['https://untref.edu.ar/tutoriales']
19,['https://untref.edu.ar/untref-deportes']
20,['https://untref.edu.ar/untref-corre']
21,['https://untref.edu.ar/talleres-y-seminarios']
22,['https://untref.edu.ar/cursos']
23,['https://untref.edu.ar/doble-carrera-deporte-universidad']
24,['https://untref.edu.ar/trio-de-cuerdas-untref-extension']
25,['https://untref.edu.ar/escuela-de-tango-y-danzas-tradicionales']
26,['https://untref.edu.ar/investigacion-y-desarrollo']
27,['https://untref.edu.ar/institutos']
28,['https://untref.edu.ar/programa-de-estudios-posdoctorales']
29,['https://untref.edu.ar/convocatorias']
30,['https://untref.edu.ar/ventanillas']
31,['https://untref.edu.ar/sigeva-cvar']
32,['https://untref.edu.ar/unidades-de-investigacion-untref']
33,['https://untref.edu.ar/vigilancia-tecnologica-y-propiedad-intelectual']
34,['https://untref.edu.ar/study-abroad']
35,['https://untref.edu.ar/cooperacion-internacional']
36,['https://untref.edu.ar/suscripcion']
37,['https://untref.edu.ar/sedes']
38,['https://untref.edu.ar/autoridades']
39,['https://untref.edu.ar/uploads/Documentos/calendario-academico-2024.pdf']
40,['https://untref.edu.ar/mundountref/crisis-economica-la-argentina-decrece-en-una-region-que-intenta-prosperar']
41,['https://untref.edu.ar/mundountref/el-curso-de-ingreso-sera-intensivo-y-abarcara-los-meses-de-febrero-y-marzo']
42,['https://untref.edu.ar/mundountref/eric-sadin-el-origen-de-la-locura-es-cuando-ya-nadie-cree-en-nada']
43,['https://untref.edu.ar/mundountref/las-inscripciones-para-las-carreras-de-grado-2025-comenzaran-el-7-de-octubre']
44,['https://untref.edu.ar/mundountref/katopodis-y-kaufmann-firmaron-un-acuerdo-para-terminar-el-campus-de-la-sede-lynch']
45,['https://untref.edu.ar/mundountref/en-la-colacion-de-grado-y-posgrado-martin-kaufmann-llamo-a-defender-la-universidad-publica']
46,['https://untref.edu.ar/mundountref/la-revista-ciencia-hoy-continuara-editandose-por-la-untref']
47,['https://untref.edu.ar/mundountref/ya-funciona-en-el-chalten-el-aerogenerador-creado-por-investigadores-de-la-untref']
48,['https://untref.edu.ar/mundountref/coctel-peligroso-aumento-del-crimen-e-insuficientes-respuestas-gubernamentales']
49,['https://untref.edu.ar/mundountref/untref-25-anos-como-se-gesto-una-nueva-identidad-universitaria-en-la-argentina']
50,['https://untref.edu.ar/mundountref/la-untref-y-el-municipio-de-tigre-firman-un-convenio-de-proteccion-medioambiental']
51,['https://untref.edu.ar/mundountref/empezo-el-nuevo-ciclo-de-conferencias-sobre-migraciones-internacionales']
52,['https://untref.edu.ar/mundountref/una-apuesta-necesaria-a-la-educacion-financiera-para-jovenes']
53,['https://untref.edu.ar/mundountref/cat/institucional']
54,['https://untref.edu.ar/mundountref/cat/academico']
55,['https://untref.edu.ar/mundountref/cat/internacional']
56,['https://untref.edu.ar/mundountref/cat/arte-cultura']
57,['https://untref.edu.ar/mundountref/cat/comunidad']
58,['https://untref.edu.ar/mundountref/cat/audiovisual']
59,['https://untref.edu.ar/mundountref/cat/podcast']
60,['https://untref.edu.ar/mundountref/la-untref-marcho-en-defensa-de-la-universidad-publica']
61,['https://untref.edu.ar/mundountref/consumo-problematico-de-juegos-y-apuestas-una-droga-digital-para-los-jovenes']
62,['https://untref.edu.ar/mundountref/la-untref-fue-sede-de-la-semana-de-las-artes']
63,['https://untref.edu.ar/mundountref/expountref-mas-de-1500-visitantes-y-un-fuerte-respaldo-a-la-educacion-publica']
64,['https://untref.edu.ar/mundountref/tags/bienalsur']
65,['https://untref.edu.ar/mundountref/lanzaron-la-convocatoria-abierta-internacional-rumbo-a-bienalsur-2025']
66,['https://untref.edu.ar/mundountref/espana-y-bienalsur-una-reflexion-critica-sobre-la-actualidad-desde-la-mirada-del-arte']
67,['https://untref.edu.ar/mundountref/la-untref-lleva-la-bienalsur-a-la-asamblea-anual-de-la-unesco']
68,['https://untref.edu.ar/mundountref/la-untref-dio-a-conocer-su-oferta-en-la-expouniversidades-2024']
69,['https://untref.edu.ar/mundountref/se-firmo-un-convenio-de-reciprocidad-con-la-universidad-politecnica-de-bucarest']
